respondent_id,date,question,selected_option,region,age_group,gender,education,employment
R0276,2024-03-27,Which option do you prefer for the upcoming election?,Option A,Central,18-25,Female,Bachelor's,Student
R0277,2024-02-27,Which option do you prefer for the upcoming election?,Option B,East,36-50,Female,High School,Employed
R0278,2024-01-05,Which option do you prefer for the upcoming election?,Option A,West,26-35,Female,Bachelor's,Employed
R0279,2024-03-21,Which option do you prefer for the upcoming election?,Option A,Central,36-50,Female,Bachelor's,Employed
R0280,2024-02-10,Which option do you prefer for the upcoming election?,Option A,North,51+,Female,High School,Employed
R0281,2024-01-02,Which option do you prefer for the upcoming election?,Option A,North,26-35,Male,PhD,Self-employed
R0282,2024-01-15,Which option do you prefer for the upcoming election?,Option A,Central,36-50,Female,Master's,Student
R0283,2024-03-29,Which option do you prefer for the upcoming election?,Option B,North,51+,Male,Bachelor's,Employed
R0284,2024-01-21,Which option do you prefer for the upcoming election?,Option C,South,51+,Male,High School,Employed
R0285,2024-01-21,Which option do you prefer for the upcoming election?,Option B,East,36-50,Male,Master's,Employed
R0286,2024-03-15,Which option do you prefer for the upcoming election?,Option A,Central,18-25,Non-binary,Master's,Student
R0287,2024-02-21,Which option do you prefer for the upcoming election?,Option C,East,26-35,Female,Master's,Employed
R0288,2024-02-06,Which option do you prefer for the upcoming election?,Option B,East,51+,Female,High School,Employed
R0289,2024-01-25,Which option do you prefer for the upcoming election?,Option A,Central,36-50,Female,High School,Employed
R0290,2024-03-05,Which option do you prefer for the upcoming election?,Option C,Central,18-25,Male,High School,Employed
R0291,2024-02-15,Which option do you prefer for the upcoming election?,Option C,West,18-25,Male,Master's,Employed
R0292,2024-03-30,Which option do you prefer for the upcoming election?,Option A,East,18-25,Male,Master's,Student
R0293,2024-03-15,Which option do you prefer for the upcoming election?,Option B,South,18-25,Female,High School,Unemployed
R0294,2024-01-04,Which option do you prefer for the upcoming election?,Option B,East,51+,Male,Bachelor's,Employed
R0295,2024-01-21,Which option do you prefer for the upcoming election?,Option A,West,36-50,Male,High School,Student
R0296,2024-01-04,Which option do you prefer for the upcoming election?,Option B,South,36-50,Male,Master's,Employed
R0297,2024-01-24,Which option do you prefer for the upcoming election?,Option B,Central,36-50,Male,Bachelor's,Student
R0298,2024-03-23,Which option do you prefer for the upcoming election?,Option B,South,36-50,Female,High School,Employed
R0299,2024-02-14,Which option do you prefer for the upcoming election?,Option B,Central,36-50,Non-binary,High School,Self-employed
R0300,2024-02-16,Which option do you prefer for the upcoming election?,Option A,West,18-25,Female,High School,Employed
R0301,2024-02-16,Which option do you prefer for the upcoming election?,Option B,East,36-50,Male,High School,Student
R0302,2024-03-09,Which option do you prefer for the upcoming election?,Option D,East,36-50,Non-binary,Master's,Student
R0303,2024-03-10,Which option do you prefer for the upcoming election?,,North,36-50,Non-binary,High School,Student
R0304,2024-03-09,Which option do you prefer for the upcoming election?,Option A,North,51+,Female,High School,Self-employed
R0305,2024-03-30,Which option do you prefer for the upcoming election?,Option C,Central,26-35,Female,Bachelor's,Unemployed
R0306,2024-02-10,Which option do you prefer for the upcoming election?,Option A,West,18-25,Female,Master's,Self-employed
R0307,2024-01-24,Which option do you prefer for the upcoming election?,Option A,West,18-25,Male,PhD,Employed
R0308,2024-01-10,Which option do you prefer for the upcoming election?,Option C,West,18-25,Male,Bachelor's,Employed
R0309,2024-03-22,Which option do you prefer for the upcoming election?,Option A,South,51+,Male,High School,Self-employed
R0310,2024-01-15,Which option do you prefer for the upcoming election?,Option A,South,36-50,Male,Bachelor's,Self-employed
R0311,2024-01-26,Which option do you prefer for the upcoming election?,Option B,South,36-50,Female,High School,Self-employed
R0312,2024-03-27,Which option do you prefer for the upcoming election?,Option A,West,36-50,Female,Bachelor's,Unemployed
R0313,2024-03-01,Which option do you prefer for the upcoming election?,Option D,South,18-25,Male,Bachelor's,Unemployed
R0314,2024-02-02,Which option do you prefer for the upcoming election?,Option C,North,18-25,Female,Bachelor's,Employed
R0315,2024-02-18,Which option do you prefer for the upcoming election?,Option C,North,51+,Male,Bachelor's,Employed
R0316,2024-01-22,Which option do you prefer for the upcoming election?,Option A,North,36-50,Male,Master's,Employed
R0317,2024-03-28,Which option do you prefer for the upcoming election?,Option B,North,36-50,Male,Bachelor's,Student
R0318,2024-01-21,Which option do you prefer for the upcoming election?,Option B,West,26-35,Non-binary,Master's,Employed
R0319,2024-03-19,Which option do you prefer for the upcoming election?,Option A,West,26-35,Female,Master's,Employed
R0320,2024-03-03,Which option do you prefer for the upcoming election?,Option C,West,51+,Male,Bachelor's,Unemployed
R0321,2024-01-06,Which option do you prefer for the upcoming election?,Option B,South,18-25,Male,Master's,Employed
R0322,2024-01-12,Which option do you prefer for the upcoming election?,Option A,West,26-35,Male,High School,Employed
R0323,2024-01-09,Which option do you prefer for the upcoming election?,Option B,South,18-25,Male,Master's,Employed
R0324,2024-01-03,Which option do you prefer for the upcoming election?,Option C,South,18-25,Female,Master's,Employed
R0325,2024-02-01,Which option do you prefer for the upcoming election?,Option A,East,26-35,Non-binary,High School,Employed
R0326,2024-01-09,Which option do you prefer for the upcoming election?,Option D,West,51+,Male,Master's,Unemployed
R0327,2024-01-30,Which option do you prefer for the upcoming election?,Option A,West,36-50,Male,PhD,Employed
R0328,2024-03-09,Which option do you prefer for the upcoming election?,Option A,Central,26-35,Non-binary,PhD,Student
R0329,2024-03-01,Which option do you prefer for the upcoming election?,Option B,North,18-25,Male,Master's,Employed
R0330,2024-01-11,Which option do you prefer for the upcoming election?,Option B,West,51+,Female,Bachelor's,Student
R0331,2024-01-30,Which option do you prefer for the upcoming election?,Option C,South,51+,Male,Bachelor's,Employed
R0332,2024-02-03,Which option do you prefer for the upcoming election?,Option B,South,18-25,Male,High School,Student
R0333,2024-01-17,Which option do you prefer for the upcoming election?,Option B,North,36-50,Male,Bachelor's,Employed
R0334,2024-02-03,Which option do you prefer for the upcoming election?,Option C,Central,36-50,Female,Bachelor's,Employed
R0335,2024-01-01,Which option do you prefer for the upcoming election?,Option C,South,26-35,Male,Bachelor's,Employed
R0336,2024-02-22,Which option do you prefer for the upcoming election?,Option A,East,36-50,Female,Bachelor's,Employed
R0337,2024-03-22,Which option do you prefer for the upcoming election?,Option C,West,51+,Female,Master's,Self-employed
R0338,2024-02-07,Which option do you prefer for the upcoming election?,Option B,East,51+,Female,Bachelor's,Employed
R0339,2024-01-25,Which option do you prefer for the upcoming election?,Option B,West,26-35,Male,Bachelor's,Self-employed
R0340,2024-01-19,Which option do you prefer for the upcoming election?,Option C,South,51+,Male,Master's,Unemployed
R0341,2024-01-19,Which option do you prefer for the upcoming election?,Option B,North,51+,Non-binary,Bachelor's,Student
R0342,2024-03-04,Which option do you prefer for the upcoming election?,Option B,West,18-25,Female,Bachelor's,Employed
R0343,2024-02-10,Which option do you prefer for the upcoming election?,Option A,North,26-35,Male,Bachelor's,Employed
R0344,2024-02-24,Which option do you prefer for the upcoming election?,Option B,West,18-25,Female,Master's,Employed
R0345,2024-03-25,Which option do you prefer for the upcoming election?,Option C,Central,51+,Male,Bachelor's,Employed
R0346,2024-03-01,Which option do you prefer for the upcoming election?,Option A,Central,18-25,Female,Bachelor's,Employed
R0347,2024-02-16,Which option do you prefer for the upcoming election?,Option B,North,36-50,Female,Master's,Student
R0348,2024-01-22,Which option do you prefer for the upcoming election?,Option A,West,51+,Male,High School,Employed
R0349,2024-01-28,Which option do you prefer for the upcoming election?,Option B,Central,36-50,Female,Master's,Employed
R0350,2024-02-24,Which option do you prefer for the upcoming election?,Option C,West,26-35,Female,Bachelor's,Unemployed
R0351,2024-01-12,Which option do you prefer for the upcoming election?,,North,26-35,Female,High School,Employed
R0352,2024-02-09,Which option do you prefer for the upcoming election?,Option B,South,51+,Male,Bachelor's,Employed
R0353,2024-03-02,Which option do you prefer for the upcoming election?,Option D,East,26-35,Male,Bachelor's,Employed
R0354,2024-02-23,Which option do you prefer for the upcoming election?,Option A,East,51+,Male,Bachelor's,Employed
R0355,2024-02-08,Which option do you prefer for the upcoming election?,Option A,North,26-35,Male,Bachelor's,Employed
R0356,2024-02-14,Which option do you prefer for the upcoming election?,Option D,North,18-25,Female,High School,Employed
R0357,2024-03-01,Which option do you prefer for the upcoming election?,Option A,North,26-35,Female,Master's,Student
R0358,2024-03-27,Which option do you prefer for the upcoming election?,Option B,North,51+,Female,Master's,Employed
R0359,2024-02-02,Which option do you prefer for the upcoming election?,Option B,Central,51+,Male,Master's,Employed
R0360,2024-01-15,Which option do you prefer for the upcoming election?,Option A,West,26-35,Male,Bachelor's,Self-employed
R0361,2024-01-10,Which option do you prefer for the upcoming election?,Option B,North,51+,Female,Bachelor's,Employed
R0362,2024-01-02,Which option do you prefer for the upcoming election?,Option C,South,18-25,Male,High School,Employed
R0363,2024-02-04,Which option do you prefer for the upcoming election?,Option B,Central,18-25,Female,High School,Employed
R0364,2024-01-25,Which option do you prefer for the upcoming election?,Option B,East,26-35,Female,High School,Employed
R0365,2024-03-13,Which option do you prefer for the upcoming election?,Option A,North,18-25,Male,Master's,Employed
R0366,2024-02-13,Which option do you prefer for the upcoming election?,Option B,Central,51+,Female,High School,Employed
R0367,2024-02-02,Which option do you prefer for the upcoming election?,Option B,North,26-35,Male,Bachelor's,Employed
R0368,2024-01-20,Which option do you prefer for the upcoming election?,Option B,South,18-25,Male,High School,Self-employed
R0369,2024-01-11,Which option do you prefer for the upcoming election?,Option A,East,18-25,Female,Bachelor's,Employed
R0370,2024-03-05,Which option do you prefer for the upcoming election?,Option B,North,18-25,Female,Bachelor's,Self-employed
R0371,2024-02-14,Which option do you prefer for the upcoming election?,Option C,West,18-25,Non-binary,High School,Unemployed
R0372,2024-01-06,Which option do you prefer for the upcoming election?,Option B,West,18-25,Male,PhD,Employed
R0373,2024-02-04,Which option do you prefer for the upcoming election?,Option B,East,18-25,Female,High School,Self-employed
R0374,2024-01-17,Which option do you prefer for the upcoming election?,Option A,West,51+,Female,High School,Student
R0375,2024-03-26,Which option do you prefer for the upcoming election?,Option B,Central,51+,Female,PhD,Employed
R0376,2024-03-25,Which option do you prefer for the upcoming election?,Option A,Central,51+,Male,Bachelor's,Employed
R0377,2024-01-13,Which option do you prefer for the upcoming election?,Option C,West,18-25,Female,Bachelor's,Employed
R0378,2024-01-24,Which option do you prefer for the upcoming election?,Option B,South,26-35,Male,PhD,Self-employed
R0379,2024-01-19,Which option do you prefer for the upcoming election?,Option C,South,26-35,Female,High School,Self-employed
R0380,2024-01-11,Which option do you prefer for the upcoming election?,Option A,East,51+,Female,Bachelor's,Self-employed
R0381,2024-01-19,Which option do you prefer for the upcoming election?,Option D,West,18-25,Female,Bachelor's,Employed
R0382,2024-03-15,Which option do you prefer for the upcoming election?,Option B,South,51+,Female,Master's,Student
R0383,2024-03-21,Which option do you prefer for the upcoming election?,Option A,North,36-50,Male,Bachelor's,Unemployed
R0384,2024-01-07,Which option do you prefer for the upcoming election?,Option B,East,51+,Male,Bachelor's,Student
R0385,2024-03-12,Which option do you prefer for the upcoming election?,Option C,Central,26-35,Non-binary,High School,Employed
R0386,2024-03-20,Which option do you prefer for the upcoming election?,Option A,East,26-35,Male,High School,Unemployed
R0387,2024-01-21,Which option do you prefer for the upcoming election?,Option A,South,26-35,Female,Master's,Student
R0388,2024-01-19,Which option do you prefer for the upcoming election?,Option A,West,36-50,Male,High School,Unemployed
R0389,2024-01-25,Which option do you prefer for the upcoming election?,Option C,South,36-50,Female,Bachelor's,Employed
R0390,2024-01-01,Which option do you prefer for the upcoming election?,Option B,Central,36-50,Male,Master's,Self-employed
R0391,2024-01-04,Which option do you prefer for the upcoming election?,Option B,West,36-50,Male,Bachelor's,Student
R0392,2024-03-01,Which option do you prefer for the upcoming election?,Option A,East,26-35,Male,Master's,Unemployed
R0393,2024-01-16,Which option do you prefer for the upcoming election?,Option C,East,26-35,Male,High School,Employed
R0394,2024-03-07,Which option do you prefer for the upcoming election?,Option D,West,18-25,Female,Bachelor's,Employed
R0395,2024-01-13,Which option do you prefer for the upcoming election?,Option A,East,18-25,Female,Master's,Employed
R0396,2024-02-01,Which option do you prefer for the upcoming election?,Option C,Central,18-25,Male,Master's,Employed
R0397,2024-01-28,Which option do you prefer for the upcoming election?,Option A,South,36-50,Female,High School,Student
R0398,2024-01-08,Which option do you prefer for the upcoming election?,Option D,West,26-35,Male,Bachelor's,Employed
R0399,2024-03-16,Which option do you prefer for the upcoming election?,Option C,South,26-35,Male,Master's,Self-employed
R0400,2024-02-07,Which option do you prefer for the upcoming election?,Option A,North,26-35,Male,Bachelor's,Employed
R0401,2024-01-29,Which option do you prefer for the upcoming election?,Option C,North,18-25,Female,High School,Employed
R0402,2024-03-22,Which option do you prefer for the upcoming election?,Option B,West,18-25,Male,Bachelor's,Self-employed
R0403,2024-02-27,Which option do you prefer for the upcoming election?,Option A,East,26-35,Female,Bachelor's,Unemployed
R0404,2024-03-25,Which option do you prefer for the upcoming election?,Option A,South,36-50,Female,Master's,Student
R0405,2024-01-25,Which option do you prefer for the upcoming election?,,Central,51+,Male,Bachelor's,Employed
R0406,2024-02-17,Which option do you prefer for the upcoming election?,Option B,North,18-25,Female,Bachelor's,Employed
R0407,2024-03-11,Which option do you prefer for the upcoming election?,Option C,West,51+,Male,High School,Student
R0408,2024-02-07,Which option do you prefer for the upcoming election?,Option B,North,18-25,Female,Bachelor's,Student
R0409,2024-01-09,Which option do you prefer for the upcoming election?,Option A,East,36-50,Female,Master's,Self-employed
R0410,2024-02-23,Which option do you prefer for the upcoming election?,Option C,West,36-50,Male,Bachelor's,Employed
R0411,2024-01-10,Which option do you prefer for the upcoming election?,Option A,North,51+,Male,Bachelor's,Employed
R0412,2024-03-26,Which option do you prefer for the upcoming election?,Option B,Central,26-35,Female,High School,Employed
R0413,2024-02-23,Which option do you prefer for the upcoming election?,Option B,North,18-25,Male,Bachelor's,Employed
R0414,2024-03-24,Which option do you prefer for the upcoming election?,Option C,West,18-25,Male,PhD,Employed
R0415,2024-02-11,Which option do you prefer for the upcoming election?,Option C,West,26-35,Male,High School,Self-employed
R0416,2024-01-25,Which option do you prefer for the upcoming election?,Option B,East,26-35,Male,High School,Employed
R0417,2024-03-17,Which option do you prefer for the upcoming election?,Option B,North,36-50,Male,Bachelor's,Student
R0418,2024-03-12,Which option do you prefer for the upcoming election?,Option C,West,51+,Male,Master's,Self-employed
R0419,2024-01-28,Which option do you prefer for the upcoming election?,Option A,Central,26-35,Male,High School,Employed
R0420,2024-01-05,Which option do you prefer for the upcoming election?,Option D,Central,36-50,Male,High School,Unemployed
R0421,2024-03-11,Which option do you prefer for the upcoming election?,Option A,West,26-35,Non-binary,High School,Employed
R0422,2024-03-12,Which option do you prefer for the upcoming election?,Option D,South,51+,Female,Bachelor's,Employed
R0423,2024-03-28,Which option do you prefer for the upcoming election?,Option D,West,26-35,Female,Bachelor's,Employed
R0424,2024-03-24,Which option do you prefer for the upcoming election?,Option D,West,26-35,Male,Bachelor's,Student
R0425,2024-03-01,Which option do you prefer for the upcoming election?,Option C,West,18-25,Male,Bachelor's,Employed
R0426,2024-03-14,Which option do you prefer for the upcoming election?,Option B,South,36-50,Male,Bachelor's,Self-employed
R0427,2024-02-02,Which option do you prefer for the upcoming election?,Option D,Central,26-35,Female,Master's,Employed
R0428,2024-01-16,Which option do you prefer for the upcoming election?,Option D,North,51+,Female,Master's,Employed
R0429,2024-01-11,Which option do you prefer for the upcoming election?,Option B,West,51+,Non-binary,Master's,Unemployed
R0430,2024-01-04,Which option do you prefer for the upcoming election?,Option D,Central,26-35,Female,High School,Student
R0431,2024-03-06,Which option do you prefer for the upcoming election?,Option B,West,36-50,Female,PhD,Unemployed
R0432,2024-03-05,Which option do you prefer for the upcoming election?,Option A,South,36-50,Male,Bachelor's,Student
R0433,2024-01-09,Which option do you prefer for the upcoming election?,Option B,East,36-50,Male,Bachelor's,Self-employed
R0434,2024-03-28,Which option do you prefer for the upcoming election?,Option C,Central,18-25,Male,PhD,Employed
R0435,2024-03-07,Which option do you prefer for the upcoming election?,Option B,South,26-35,Female,Master's,Employed
R0436,2024-01-01,Which option do you prefer for the upcoming election?,Option D,West,36-50,Male,Bachelor's,Employed
R0437,2024-03-30,Which option do you prefer for the upcoming election?,Option D,North,36-50,Male,Bachelor's,Self-employed
R0438,2024-01-01,Which option do you prefer for the upcoming election?,Option B,North,36-50,Male,Bachelor's,Employed
R0439,2024-01-05,Which option do you prefer for the upcoming election?,Option C,South,51+,Non-binary,High School,Self-employed
R0440,2024-01-11,Which option do you prefer for the upcoming election?,Option B,South,51+,Male,Bachelor's,Employed
R0441,2024-03-11,Which option do you prefer for the upcoming election?,Option B,East,26-35,Male,Master's,Employed
R0442,2024-01-08,Which option do you prefer for the upcoming election?,Option B,South,51+,Male,Master's,Employed
R0443,2024-01-15,Which option do you prefer for the upcoming election?,Option B,North,26-35,Female,High School,Student
R0444,2024-01-24,Which option do you prefer for the upcoming election?,Option B,East,26-35,Male,Master's,Self-employed
R0445,2024-03-09,Which option do you prefer for the upcoming election?,Option A,South,51+,Female,Bachelor's,Employed
R0446,2024-01-10,Which option do you prefer for the upcoming election?,Option A,Central,36-50,Male,Bachelor's,Employed
R0447,2024-02-07,Which option do you prefer for the upcoming election?,Option D,Central,26-35,Male,High School,Student
R0448,2024-03-02,Which option do you prefer for the upcoming election?,Option A,East,36-50,Female,Master's,Employed
R0449,2024-02-08,Which option do you prefer for the upcoming election?,Option D,Central,36-50,Female,High School,Employed
R0450,2024-02-01,Which option do you prefer for the upcoming election?,Option C,Central,26-35,Male,Bachelor's,Employed
R0451,2024-01-17,Which option do you prefer for the upcoming election?,Option B,East,26-35,Female,Bachelor's,Student
R0452,2024-03-03,Which option do you prefer for the upcoming election?,Option C,West,51+,Female,High School,Student
R0453,2024-02-08,Which option do you prefer for the upcoming election?,Option A,North,18-25,Non-binary,Bachelor's,Employed
R0454,2024-02-03,Which option do you prefer for the upcoming election?,Option B,East,36-50,Male,High School,Self-employed
R0455,2024-03-21,Which option do you prefer for the upcoming election?,Option A,East,18-25,Male,High School,Student
R0456,2024-01-15,Which option do you prefer for the upcoming election?,Option A,North,36-50,Female,PhD,Employed
R0457,2024-03-18,Which option do you prefer for the upcoming election?,Option C,West,36-50,Female,Bachelor's,Employed
R0458,2024-01-06,Which option do you prefer for the upcoming election?,Option B,South,36-50,Female,High School,Student
R0459,2024-01-13,Which option do you prefer for the upcoming election?,Option B,North,26-35,Female,Bachelor's,Employed
R0460,2024-02-13,Which option do you prefer for the upcoming election?,Option C,East,51+,Male,Master's,Self-employed
R0461,2024-03-07,Which option do you prefer for the upcoming election?,Option B,South,51+,Female,Master's,Employed
R0462,2024-01-12,Which option do you prefer for the upcoming election?,Option A,South,51+,Female,High School,Student
R0463,2024-03-18,Which option do you prefer for the upcoming election?,Option C,Central,26-35,Male,Bachelor's,Employed
R0464,2024-03-09,Which option do you prefer for the upcoming election?,Option C,Central,18-25,Female,Bachelor's,Employed
R0465,2024-03-19,Which option do you prefer for the upcoming election?,Option C,East,18-25,Male,PhD,Student
R0466,2024-02-26,Which option do you prefer for the upcoming election?,Option D,East,36-50,Female,PhD,Employed
R0467,2024-02-10,Which option do you prefer for the upcoming election?,Option D,South,26-35,Non-binary,High School,Employed
R0468,2024-01-03,Which option do you prefer for the upcoming election?,Option A,Central,18-25,Female,High School,Employed
R0469,2024-01-26,Which option do you prefer for the upcoming election?,Option C,South,26-35,Female,Bachelor's,Employed
R0470,2024-01-20,Which option do you prefer for the upcoming election?,Option B,East,36-50,Male,PhD,Employed
R0471,2024-01-06,Which option do you prefer for the upcoming election?,Option C,West,26-35,Male,Bachelor's,Student
R0472,2024-01-02,Which option do you prefer for the upcoming election?,Option A,East,36-50,Female,Bachelor's,Employed
R0473,2024-02-20,Which option do you prefer for the upcoming election?,Option A,Central,18-25,Male,Bachelor's,Student
R0474,2024-02-14,Which option do you prefer for the upcoming election?,Option B,Central,18-25,Female,Master's,Student
R0475,2024-02-15,Which option do you prefer for the upcoming election?,Option C,West,51+,Female,PhD,Employed
R0476,2024-02-19,Which option do you prefer for the upcoming election?,Option C,South,36-50,Male,Bachelor's,Employed
R0477,2024-03-13,Which option do you prefer for the upcoming election?,Option C,East,51+,Male,Master's,Self-employed
R0478,2024-03-24,Which option do you prefer for the upcoming election?,Option A,East,18-25,Female,Bachelor's,Student
R0479,2024-03-03,Which option do you prefer for the upcoming election?,Option A,Central,18-25,Male,Master's,Student
R0480,2024-03-07,Which option do you prefer for the upcoming election?,Option B,North,18-25,Male,High School,Employed
R0481,2024-01-19,Which option do you prefer for the upcoming election?,Option C,South,36-50,Female,Bachelor's,Employed
R0482,2024-01-08,Which option do you prefer for the upcoming election?,Option C,West,51+,Female,High School,Student
R0483,2024-02-29,Which option do you prefer for the upcoming election?,Option A,East,36-50,Male,High School,Self-employed
R0484,2024-02-27,Which option do you prefer for the upcoming election?,Option B,West,51+,Female,High School,Self-employed
R0485,2024-03-19,Which option do you prefer for the upcoming election?,Option A,East,36-50,Female,Bachelor's,Employed
R0486,2024-03-26,Which option do you prefer for the upcoming election?,Option A,West,26-35,Female,Master's,Student
R0487,2024-02-07,Which option do you prefer for the upcoming election?,Option C,Central,26-35,Male,High School,Employed
R0488,2024-01-21,Which option do you prefer for the upcoming election?,Option C,South,26-35,Female,High School,Employed
R0489,2024-03-08,Which option do you prefer for the upcoming election?,Option A,South,51+,Female,Bachelor's,Employed
R0490,2024-02-21,Which option do you prefer for the upcoming election?,Option B,West,18-25,Female,Bachelor's,Employed
R0491,2024-02-18,Which option do you prefer for the upcoming election?,Option B,North,51+,Male,Master's,Self-employed
R0492,2024-02-04,Which option do you prefer for the upcoming election?,Option A,South,26-35,Male,Bachelor's,Unemployed
R0493,2024-02-26,Which option do you prefer for the upcoming election?,Option C,North,51+,Female,Master's,Self-employed
R0494,2024-01-23,Which option do you prefer for the upcoming election?,Option A,North,18-25,Female,High School,Student
R0495,2024-01-22,Which option do you prefer for the upcoming election?,Option B,Central,18-25,Male,Master's,Student
R0496,2024-02-05,Which option do you prefer for the upcoming election?,Option A,North,26-35,Male,Master's,Self-employed
R0497,2024-01-19,Which option do you prefer for the upcoming election?,Option B,South,26-35,Female,High School,Employed
R0498,2024-03-07,Which option do you prefer for the upcoming election?,Option D,West,36-50,Non-binary,Bachelor's,Self-employed
R0499,2024-01-01,Which option do you prefer for the upcoming election?,Option B,South,26-35,Female,High School,Employed
R0500,2024-02-08,Which option do you prefer for the upcoming election?,Option D,South,18-25,Female,Bachelor's,Employed
